,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,first_doc,institution_id,ind_prod
956,ed18c476-4865-40e9-af9d-c49c6cd7105f,,,,,,,,,,,,,,,Doutorado,2,3,,,,,,1,,,2021,68125729-c357-4830-ba4d-ec3ca757c323,0.0
957,e0fb2a37-dbee-4909-8188-78b10ed4aa74,,,,,,,,,,,,,5,,Doutorado,,,,,,,,,,2,2016,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
958,17ff688f-141b-46d0-8d3f-55fa22f9ec02,,,,,,,,,,,,,,,Pós-Doutorado,1,,,,,,,,,,2013,498cadc8-b8f6-4008-902e-76281109187d,0.0
959,2436285e-4406-4bf8-947b-4e9e7c9ac867,,,,4,,,,,2,,,,,,Doutorado,,,1,1,,,,7,,,2009,68125729-c357-4830-ba4d-ec3ca757c323,1.0
960,f6827ccf-d20d-40c3-b582-29b2c1e95678,,,,2,,1,,3,,,,,,,Doutorado,,3,,,,,,4,,,2018,68125729-c357-4830-ba4d-ec3ca757c323,2.75
961,e1d462fe-6572-465e-8219-5a6d8ed4d81e,,,,,,,,,,,,,,,Mestrado,,,,,,,,30,,3,None,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
962,a68794c2-fa93-417c-a39c-af30e9109007,,,,2,,,,,1,1,,,,1,Mestrado,,,,,,,,6,,,None,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.87
963,bb1c68d3-9d90-4cb2-a5d8-896aafeb4914,,,,2,1,,,1,,,,,1,,Doutorado,,,,,,,,22,,1,2010,68125729-c357-4830-ba4d-ec3ca757c323,1.625
964,70d54861-b897-4a25-a8e6-7c4c9f616f38,,,,17,,,,,,,,,,,Especialização,,,,,,,,2,,,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
965,af709bb8-73a7-4f3a-a8e9-b574d237279d,,,,,,,,,,,,,1,,Doutorado,,,,,,,,6,,,2020,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
966,86bdadfa-00c2-46a3-8c22-2a85675c9ff7,,,,2,,,,,1,1,,,,,Mestrado,,1,,,,,,6,,4,None,68125729-c357-4830-ba4d-ec3ca757c323,0.87
967,ed4d5576-d670-4372-b36e-c0e59d88a6d2,,,,3,4,,1,4,,,2,,,,Pós-Doutorado,,2,1,17,6,1,,3,,,2007,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,7.75
968,d9695c27-9a7d-4197-bee9-0d415da8e52b,,,,,,,,,,,,,1,,Doutorado,,3,,,,,,,,,2011,498cadc8-b8f6-4008-902e-76281109187d,0.0
969,064484ac-1786-4022-b9c1-6121d7851813,,,,,,1,,,,,,,1,1,Doutorado,,,,,,,,1,,1,2018,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.875
