,researcher_id,institution_id,modality_code,modality_name,category_level_code,funding_program_name,aid_quantity,scholarship_quantity
88,bb295e55-b91b-400a-a97c-9b2cbf809119,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
89,bb295e55-b91b-400a-a97c-9b2cbf809119,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
90,9542890e-ac25-4976-b7e4-4a0e031d8b20,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
91,9542890e-ac25-4976-b7e4-4a0e031d8b20,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
92,ace2ca57-9b6b-4e02-8cde-cf5316a040a3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
93,ace2ca57-9b6b-4e02-8cde-cf5316a040a3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
94,b6685bc7-2402-461d-9f2d-108e3fbb8b1f,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
95,b6685bc7-2402-461d-9f2d-108e3fbb8b1f,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
96,20a5f9ca-749f-428f-a4be-606008a1e198,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
97,20a5f9ca-749f-428f-a4be-606008a1e198,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
98,266a4b1c-1491-4fd3-88c1-0d23cc3209f3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
99,266a4b1c-1491-4fd3-88c1-0d23cc3209f3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
100,da78bf9b-56e4-47e9-be5e-c0dd175adc03,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
101,da78bf9b-56e4-47e9-be5e-c0dd175adc03,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
102,1fc06505-fec5-455b-b013-ac47384838f7,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
103,1fc06505-fec5-455b-b013-ac47384838f7,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
104,1e6f37eb-46b3-44fa-87ad-a7b2396ebed3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
105,1e6f37eb-46b3-44fa-87ad-a7b2396ebed3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
106,7326923a-f733-43c6-823a-2568f4eef7e6,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
107,7326923a-f733-43c6-823a-2568f4eef7e6,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
108,80c5bb3a-c35e-4865-b52b-d3bd97f6aec3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
109,80c5bb3a-c35e-4865-b52b-d3bd97f6aec3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
110,e3ecbc69-6bf1-4dc4-953e-f015cc9ac8f3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
111,e3ecbc69-6bf1-4dc4-953e-f015cc9ac8f3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
112,64817a33-54f4-44ec-a703-3fd501786cbb,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
113,64817a33-54f4-44ec-a703-3fd501786cbb,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
114,8f9280b1-72fd-4741-8c43-3358f1b88245,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
115,8f9280b1-72fd-4741-8c43-3358f1b88245,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
116,fa1148b8-e972-43e3-afa5-42bf9fce53fd,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
117,fa1148b8-e972-43e3-afa5-42bf9fce53fd,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
118,8c9cc131-05cf-41e0-b27f-86bcc9e96b55,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
119,8c9cc131-05cf-41e0-b27f-86bcc9e96b55,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
120,8da73e03-6755-4a47-9fa1-913a77f8a8d5,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
