,city_id,name
87,e1dab15b-61d6-4137-85f9-e784b029afbd,Ipiaú
88,899d37bd-f1cc-4837-8204-9ec733d98132,Palmas De Monte Alto
89,35624364-7b3f-408b-9e9a-307d49d5aa33,Palmeira Das Missões
90,e2b12fa3-8106-452a-9a7d-5dfd3a8badff,Ouro Preto
91,e5d4c2b8-d925-4b8d-82af-a452797bdeab,Irece
92,22e0cfd0-dee7-4576-9765-81e3987eccb0,Bom Jesus Da Lapa
93,2bfa9bc2-ba01-47c1-a565-cea82e0e8851,Rio Claro
94,d428d261-89d7-4d29-b75a-f2bd587a9420,Santiago
95,90622399-7c8f-4ce9-ba50-0450ec66b95f,Natal
96,fd0dcbde-403c-4ea6-b9b0-f94bc30d270d,Bezerros
97,9c427339-65be-4874-8fc2-cfd32617a1f1,Caratinga
98,02da13a1-da88-4e80-9ea8-ed038ccb7982,Pirapozinho
99,997310d9-e260-4d87-8955-a1d59cc03e82,Garanhuns
100,da403a5a-b20b-4e5e-96e3-bbd646a659d7,Timóteo
101,064d86ce-4a53-4f0c-95da-45d3abd7ddea,Sao Paulo
102,7fb5e6e1-7cd6-4b1c-9308-0e1a8a3bb7d7,Mata Verde
103,2364f046-01ca-4be9-8434-174f90283d48,São Bernardo Do Campo
104,9851b6a5-80cc-4455-a19a-31d359a337ee,Jaboticabal
105,3f6db328-be4e-46f4-a3ea-16581b02f4f2,Biritinga
106,20d82a02-7286-4800-a212-72411bfc8eee,Jacobina
107,21482543-879e-4922-aa37-0cfea3b402f1,Araraquara-Sp
108,61295003-99db-46e9-bf60-b39f5f8445b8,Teofilândia
109,ba26c9b7-28ac-4318-93b5-c5036f7c2ffd,Jaguaquara
110,329266ec-48b5-4429-b86c-3a254b119150,Campo Mourão
111,3628f629-bfb1-493d-a1ce-8a036cda23d2,Vitória Da Conquisa
112,1f2ec7f1-885e-4338-b089-8e415b8509ac,Poções
113,9581aed9-8ad0-451d-bc03-a6a0f978876e,Barra Do Mendes
114,0663beb6-a991-470c-9362-010ea9d9168a,Uberlândia
115,4062cd36-ab2f-4f14-b38a-4fa0692b1360,Conceição Do Jacuípe
116,9fa82a24-5293-4eae-ad5c-7b101173a33b,Teixeira De Freitas
