,title,year,type,researcher_id,city_id,institution_id
22,Legere,2018,SOFTWARE,6f41cc8e-b2f4-49b7-a72c-aee43c67a8cf,ae5c7df2-1e93-4583-9c22-bd7d2c397976,08aa6e17-f9ae-4979-a399-5b32a506a15e
23,"O Fio Da Docência Na Licenciatura Em Letras Do Dch Vi/uneb, Caetité, Ba: Indagações À Luz Da Resolução Cne/cp Nº 02/2015",2019,RELATÓRIO TÉCNICO,f2f57bca-0093-4eb9-8e04-db384ce3320d,899d37bd-f1cc-4837-8204-9ec733d98132,68125729-c357-4830-ba4d-ec3ca757c323
24,Mão Na Massa - O Ensino De Ciências Nas Séries Iniciais,2008,RELATÓRIO TÉCNICO,ef104bee-d800-4d3d-aa66-034a5a46e74e,86750451-61a1-4c07-904b-aa7a9223a83c,2a643ff4-5a18-4d87-8c3d-6c3f7091e001
25,"Relatório Parcial Do Grupo Cultura, Memória E Desenvolvimento",2010,RELATÓRIO TÉCNICO,81e6ff7d-1a32-4531-b680-3334803562d3,3938135b-0e5f-4351-aa66-f901e3c1e26b,08aa6e17-f9ae-4979-a399-5b32a506a15e
26,Relatório Final De Estágio Pós-Doutoral,2014,RELATÓRIO TÉCNICO,04e5b349-19d8-488c-8ebd-f81f32cd1943,e1dab15b-61d6-4137-85f9-e784b029afbd,08aa6e17-f9ae-4979-a399-5b32a506a15e
27,"Sequencia De Ácido Nucleico Recombinante Que Codifica Para Os Aminoácidos 3 A 512 Da Proteína P1 Do S. Mutans, Proteína Recombinante E Seus Usos Na Prevenção E Controle Da Cárie Dental",2013,PATENTE,237320aa-f527-4818-98f6-31bc6e83eb8b,e240c92f-939b-468d-869d-5628ecb1346e,2a643ff4-5a18-4d87-8c3d-6c3f7091e001
28,Relatório De Projeto De Pesquisa: Núcleo De Estudos Em História E Memória Da Educação,2006,RELATÓRIO TÉCNICO,1cbb0a14-bc3e-4923-842a-504dec76b534,e3490c73-8fb5-44dc-a947-42cb2acff526,08aa6e17-f9ae-4979-a399-5b32a506a15e
29,"Citrus Paradisi Lycopene Epsilon-Cyclase Mrna, Complete Cds",2002,PATENTE,174e5e59-232e-4a9f-af52-9628be27c03d,180daab7-c730-4c53-b28f-8743ea7c43bb,2a643ff4-5a18-4d87-8c3d-6c3f7091e001
30,Relatorio Bolsista De Atividades,2002,RELATÓRIO TÉCNICO,8eeb79e7-7cdd-42b2-8ad5-539e79bf4e4d,c6a55f33-447c-48cc-8aa6-3c20e4225351,68125729-c357-4830-ba4d-ec3ca757c323
31,"Biodiversidade Vegetal Da Apa Serra Branca/raso Da Catarina, Jeremoabo, Bahia, Brasil",2009,RELATÓRIO TÉCNICO,28c4edac-4a1c-4721-b448-200e39007dee,c6a55f33-447c-48cc-8aa6-3c20e4225351,68125729-c357-4830-ba4d-ec3ca757c323
32,Relatório Parcial,2012,RELATÓRIO TÉCNICO,6ec566ff-1a2a-41b2-ab6a-b457c0f57f21,3938135b-0e5f-4351-aa66-f901e3c1e26b,08aa6e17-f9ae-4979-a399-5b32a506a15e
33,Relatório De Pesquisa De Iniciação Científica Do Subprojeto Qualidade De Vida E A Prática De Atividade Física Dos Acadêmicos Da Uneb - Campus Xii: Diferenciação De Gêneros,2016,RELATÓRIO TÉCNICO,05c23902-d443-461a-9c3c-c2d1b83f401f,9020106e-f2e0-4499-901b-b29f0396fa0e,68125729-c357-4830-ba4d-ec3ca757c323
34,"Relatório Do Projeto De Pesquisa: Navegar Será, De Fato, Preciso",2008,RELATÓRIO TÉCNICO,fda18809-8519-45c8-8ed4-a3d22ee84210,899fdb9a-697f-4901-b091-e2657c2d4c49,08aa6e17-f9ae-4979-a399-5b32a506a15e
35,Anais Do Viii Colóquio Nacional E I Internacional Do Museu Pedagógico/ Uesb: As Redes Científicas E O Desenvolvimento Da Pesquisa ? Perspectivas Multidisciplinares,2009,SOFTWARE,c9bac60d-f693-4fa7-a803-3632b81edd18,ade9e87b-ab63-4bcd-96ae-ae06b7fc8c20,08aa6e17-f9ae-4979-a399-5b32a506a15e
36,"Monitoramento Da Influência Da Pluma Do Rio Doce Após O Rompimento Da Barragem De Rejeitos De Mariana/mg - Novembro De 2015: Processamento, Interpretação E Consolidação De Dados - Capítulo: Condições Hidrometeorológicas E Oceanográficas",2017,RELATÓRIO TÉCNICO,99421f2c-26b5-44c7-a7c7-2feb6e53d052,a608c7a7-bda2-448a-8270-ddb9618bc0c1,498cadc8-b8f6-4008-902e-76281109187d
37,Avaliação Dos Processos Gestor E Pedagógico Em Escolas Públicas Baianas,2003,RELATÓRIO TÉCNICO,436e8eb5-13f5-41e5-9b7f-36eb0ed84ddd,e240c92f-939b-468d-869d-5628ecb1346e,08aa6e17-f9ae-4979-a399-5b32a506a15e
38,Esopo:,2015,RELATÓRIO TÉCNICO,6225d078-e85e-43a1-9562-b482f839b3fc,c6a55f33-447c-48cc-8aa6-3c20e4225351,68125729-c357-4830-ba4d-ec3ca757c323
39,Relatório De Atividades De Estágio De Docência,2016,RELATÓRIO TÉCNICO,78ad8b08-8078-4dfe-98bc-0bceab075bbc,aaea9aa9-0b96-4d03-9599-f965902315e7,2a643ff4-5a18-4d87-8c3d-6c3f7091e001
40,Mídias Sociais A Serviço Do E-Gov: A Experiência Do Governo Federal Brasileiro,2010,RELATÓRIO TÉCNICO,35a94ae8-32c3-40fb-8b3a-650c77964ed3,f94a3929-5508-4268-85d3-75b71e955dc0,68125729-c357-4830-ba4d-ec3ca757c323
41,Estudo De Prevalência Das Lesões Precursoras Do Câncer De Colo De Útero Na Microrregião Sul Da Bahia: A Importância Do Siscolo,2013,RELATÓRIO TÉCNICO,d9a06fe2-53a8-4896-993c-c467e1ad0f05,86750451-61a1-4c07-904b-aa7a9223a83c,2a643ff4-5a18-4d87-8c3d-6c3f7091e001
